362.06,351.01,
359.64,358.8,
351.61,352.22,
350.42,350.01,
315.59,339.63,
313.67,321.22,
316.7,311.2,
324.94,312.1,
312.3,322.62,
307.75,312.5,
303.38,304.87,
296.93,297.79,
295.47,293.74,
280.88,291.29,
284.35,282.78,
296.29,292.28,
296.77,298.46,
303,291.36,
294.99,297.08,
283.6,289.59,
287.84,284.01,
277.23,286.15,
282.31,269.51,
287.24,287.05,
298,292.32,
287.08,294.7,
277.2,280.84,
275,283.95,
260.55,269.85,
272,262.95,
263.41,266.95,
277.3,259.03,
255.24,268.4,
253.96,243.91,
244.24,255.47,
255.65,243.07,
267.2,263.6,
255.36,265.59,
250,252.73,
253.94,257.24,
253.8,245.62,
229,249.18,
205.71,212.69,
219,205.75,
201.96,212.97,
200.1,202.82,
200.91,217.27,
212.41,196.4,
230.5,240.84,
225.46,216.31,
255.46,246.47,
256.54,261.08,
239.9,245.44,
266.08,266.04,
276.5,273.29,
270.2,284.51,
278.67,265.89,
276.9,276.43,
