816,827.6,
820.5,815.56,
815.17,808.01,
827.78,813.63,
790.35,799.17,
780,803.33,
820.83,790.96,
827,809.41,
790.51,811.29,
793.77,819.42,
777.21,780.04,
776.5,782.58,
789.79,768.21,
701,761.19,
755,701.32,
855.19,781.88,
790.17,800.51,
795.64,769.12,
737.61,798.75,
710.81,725.15,
727.6,705.63,
703.98,732.11,
730.12,686.72,
732.7,746.36,
772.28,753.89,
716.94,745.21,
742,729.83,
698.97,709.89,
590.16,650.95,
562.09,573,
554.2,548.84,
545,545.45,
511.2,516.24,
509.5,480.01,
481.03,454.47,
504,481.56,
501.25,524,
510.26,502.13,
505,514.36,
547.39,528.16,
545.25,539.25,
477.3,505,
433.6,434.29,
438.2,427.53,
374.7,427.64,
389,361.22,
440.01,430.2,
469.5,445.07,
595,546.62,
580.89,560.55,
640.2,634.23,
659.43,645.33,
605.39,608,
690,703.48,
723.77,724.54,
763.96,749.5,
805,745.51,
711.26,743.62,
